track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_min,loudness_normalized,is_hit
0sa8J8EmTnCmu11q0lPkL4,Stephy Tang,十分愛精選,十分. 愛,20,245000,False,0.559,0.428,1,-6.681,1,0.033,0.736,0.0,0.0753,0.204,148.078,4,cantopop,4.083333333333333,0.792593825721843,0
0i8slw0OpxuQ3e3kDUsNna,Kester,Jesus,Vazhiyarikil,20,291395,False,0.658,0.489,6,-9.257,0,0.0304,0.604,0.0,0.311,0.795,130.649,3,malay,4.856583333333333,0.7449457114847493,0
0f9Zt37k5AnTkrGIFqhkK6,Cyndi Lauper,Stranger Things (Soundtrack from the Netflix Original Series),Time After Time,53,237426,False,0.729,0.443,0,-9.195,1,0.0278,0.514,1.01e-06,0.094,0.324,130.359,4,disco,3.9571,0.7460925216876606,0
6olS0TmHmsGr0hXtcBsiVM,Megadeth,Youthanasia (Expanded Edition),A Tout Le Monde - Remastered 2004,66,262133,False,0.272,0.747,5,-4.86,0,0.0401,0.000393,4.03e-05,0.16,0.255,202.777,4,hard-rock,4.368883333333334,0.8262767511976767,1
7cn8UphRWOPeGn4hxMvY0X,Los Amigos Invisibles,Repeat After Me,Invisible Love,29,274346,False,0.731,0.747,11,-6.612,0,0.0305,0.0136,0.0301,0.09,0.962,125.98,4,afrobeat,4.572433333333334,0.7938701144960508,0
75c2enhZo8WQeZPQXkjpWq,Kelpe,Fourth: The Golden Eagle,Beaks of Eagles,9,271974,False,0.615,0.517,10,-9.227,1,0.0425,0.0907,0.729,0.183,0.644,95.08,4,idm,4.5329,0.7455006196474484,0
3tjjCCdXSdaVEo4q4y071G,Tobey Rosen,Whole Again (Acoustic Version),Whole Again - Acoustic Version,52,157231,False,0.736,0.145,11,-9.215,1,0.0336,0.855,0.0,0.108,0.235,129.832,4,acoustic,2.6205166666666666,0.745722582912528,0
3uit1VjYh9PzjVdpuJNkP8,The Lumineers,Calm Christmas,Blue Christmas,0,182703,False,0.661,0.22,1,-8.31,1,0.0298,0.742,6.09e-06,0.115,0.274,102.771,3,folk,3.04505,0.7624623124872832,0
3je1pkjiD7TLndoW6jqjoj,Lebo M.,The Lion King: Original Broadway Cast Recording,"The Lion Sleeps Tonight - From ""The Lion King""/Original Broadway Cast Recording",52,69760,False,0.548,0.383,4,-15.27,1,0.0606,0.658,1.34e-05,0.124,0.565,68.176,4,disney,1.1626666666666667,0.6337236187410983,0
5xFWlwt0VB7m4ZhCNoEQTW,Die Toten Hosen,Alles aus Liebe: 40 Jahre Die Toten Hosen,Chaot (in mir),36,195130,False,0.495,0.96,1,-3.116,1,0.0771,0.00128,0.0,0.19,0.686,162.004,4,punk-rock,3.2521666666666667,0.8585354123892496,0
11hQpTbTymxIZzSmabCd9b,Max Brhon,Redemption,Redemption,44,245529,False,0.49,0.741,5,-6.601,0,0.0561,0.000887,0.189,0.0787,0.0793,105.057,4,club,4.09215,0.7940735808223739,0
10clXWnF1WxfpWhuiHGZfx,Kitchen Dwellers,Ghost in the Bottle,Mountain,38,297640,False,0.583,0.63,0,-11.301,1,0.0353,0.459,0.115,0.285,0.662,150.064,4,bluegrass,4.960666666666667,0.7071379686661856,0
63GJDO5mxiFP1ZQEpdUWRd,Polaris,The Mortal Coil,The Remedy,57,243913,False,0.356,0.995,4,-3.366,0,0.172,3.26e-06,0.000196,0.403,0.167,183.985,4,metalcore,4.065216666666666,0.8539111777000906,0
4AyUaumLrKH1uYHSUxUOsv,Thompson Twins,"Love, Lies And Other Strange Things: Greatest Hits",Love on Your Side,26,239666,False,0.767,0.76,0,-9.293,1,0.105,0.0679,0.00213,0.0974,0.697,111.859,4,synth-pop,3.9944333333333333,0.7442798216895103,0
2ST9rghUAyWeXEG5Wtl3Q3,Audiofreq;Somnia;Shanti People,Hey Adi Yogi,Hey Adi Yogi - Hard Edit,23,186400,False,0.506,0.971,2,-2.999,1,0.0728,0.0264,0.0088,0.678,0.376,150.023,4,hardstyle,3.1066666666666665,0.8606995542237759,0
38HU7vX2HlEOXLOwwFApb4,Kyary Pamyu Pamyu,Candy Racer,Natsuiro Flower,20,289893,False,0.666,0.887,0,-3.318,1,0.0326,0.154,0.385,0.0302,0.971,131.986,4,j-idol,4.83155,0.8547990307604091,0
6jqgfUKBB7g8MAzil44eCn,The Lil Smokies,Changing Shades,Might as Well,26,164995,False,0.575,0.526,9,-8.852,1,0.0336,0.533,0.00153,0.0841,0.911,118.668,4,bluegrass,2.7499166666666666,0.7524369716811867,0
3dysNqzNtD4bhiI8tMJ4Vm,Emery,The Weak's End,Fractions,30,314026,False,0.414,0.828,1,-4.893,1,0.0477,0.0372,3.64e-06,0.172,0.306,154.017,3,hardcore,5.233766666666667,0.8256663522187078,0
2qMD3uFyeh7o7lyIakCvOr,Christopher Zondaflex Tyler,Mr. Chris' Tap Music for Kids,Shuffle,19,120085,False,0.966,0.851,9,-11.713,1,0.091,0.033,0.0179,0.0529,0.867,128.987,4,kids,2.0014166666666666,0.6995172298984518,0
397LYuxD2ENxd9fHy82nJJ,Kyle Kinane,"""I Liked His Old Stuff Better""",This Track Is Not Called 8 Ball,28,415786,False,0.649,0.712,6,-6.254,1,0.929,0.699,0.0,0.937,0.553,132.087,3,comedy,6.929766666666667,0.8004920185709264,0
2btAqXXb9XWPx1otiZtJbd,Squeeze,Greatest Hits,Another Nail In My Heart,23,178400,False,0.536,0.593,4,-14.733,1,0.0334,0.187,3.79e-06,0.102,0.869,150.219,4,power-pop,2.973333333333333,0.6436564748534118,0
7fYE7BT9Na8XpALQwuhIwX,Diljit Dosanjh,MoonChild Era,Champagne,62,182000,False,0.757,0.588,10,-6.383,0,0.12,0.252,0.0,0.0701,0.344,84.968,4,pop-film,3.033333333333333,0.7981059134713204,0
3PGvcGU10IzjiSA96A2GcO,HOSH;Jalja;CamelPhat,Tighter (feat. Jalja) [CamelPhat Remix],Tighter (feat. Jalja) - CamelPhat Remix,54,234312,False,0.647,0.937,10,-6.008,0,0.0366,0.00133,0.0292,0.131,0.145,125.016,4,electronic,3.9052,0.8050422655050588,0
0y3MztD4t3mIPJdKTzYI2Z,Newen Afrobeat,Newen Afrobeat,P.D.T.N. (Prostituto de Transnacional),18,402386,False,0.68,0.777,5,-5.853,0,0.0317,0.0808,0.522,0.161,0.425,105.052,3,afrobeat,6.706433333333333,0.8079092910123373,0
35leqosCqhfqSxhHD8rAfH,Kapten Röd,Fläcken Som Aldrig Går Bort,Blommor Vid Oscarsleden,29,266353,False,0.772,0.624,1,-8.04,0,0.168,0.268,0.0,0.066,0.837,74.978,4,dancehall,4.439216666666667,0.767456485951575,0
49PyCCLOdJi0jHkGyyY2vv,L'Impératrice;Isaac Delusion,Sonate Pacifique,Sonate Pacifique,61,348944,False,0.558,0.538,5,-8.853,1,0.0327,0.629,0.0198,0.424,0.254,99.992,4,french,5.815733333333333,0.7524184747424301,0
7AtftHwt5KYYhJUaY5rvkv,Pritam;Hans Raj Hans,Mausam,Ik Tu Hi Tu Hi,41,431189,False,0.367,0.732,8,-7.335,1,0.0562,0.309,0.0,0.0625,0.722,72.559,4,indian,7.186483333333333,0.7804968277750032,0
4HMsQy6myJNy1GoCLsIDDR,告五人,運氣來得若有似無,與海無關 (《比悲傷更悲傷的故事》影集版插曲),52,245231,False,0.654,0.227,2,-12.619,1,0.0298,0.906,2.14e-05,0.091,0.373,78.155,4,mandopop,4.087183333333333,0.6827590033849398,0
1UkPFjuFyZhHJ65ekc8VQZ,Fred V & Grafix,Here With You,Minor Happy,18,270344,False,0.389,0.853,10,-3.302,1,0.0361,0.000304,0.202,0.106,0.282,173.997,4,drum-and-bass,4.505733333333334,0.8550949817805152,0
0dzKBptH2P5j5a0MifBMwM,Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,0,273653,False,0.633,0.429,4,-6.784,0,0.0381,0.0444,0.0,0.132,0.52,143.793,4,acoustic,4.560883333333333,0.7906886410299095,0
2UDEISJu7yrAyh2JrvS7fO,Mollono.Bass;KUOKO,"Woods, Tales & Friends (Part One)",No Silence,44,286717,False,0.688,0.635,2,-9.363,0,0.0349,0.00165,0.775,0.142,0.477,124.026,4,minimal-techno,4.778616666666666,0.7429850359765459,0
45SbQo5bq8f0hNdB70IyFC,Boyce Avenue,Save Your Tears,Save Your Tears,57,216800,False,0.735,0.275,8,-8.994,0,0.0304,0.746,0.0,0.131,0.294,116.004,4,acoustic,3.6133333333333333,0.7498104063777444,0
2ekuOuCfS6k0fNnxkyLHVb,Sergei Lemeshev,Русское наследие,Меж крутых бережков,0,184213,False,0.294,0.133,0,-17.964,1,0.052,0.994,5.68e-06,0.12,0.31,82.033,3,romance,3.0702166666666666,0.5838928657307215,0
3xCArrKypqhydG7WBGh4dM,Seikima-II,WORST,RATSBANE,19,280840,False,0.514,0.798,0,-11.778,1,0.0436,0.0366,0.000798,0.0565,0.642,120.114,4,heavy-metal,4.680666666666666,0.6983149288792705,0
6V0cw3ZOtm5oQJrSv4QluQ,Pritam;Arijit Singh;Antara Mitra,"Gerua (From ""Dilwale"")","Gerua (From ""Dilwale"")",52,345558,False,0.371,0.668,11,-7.269,0,0.0497,0.636,2e-06,0.294,0.403,87.458,4,indian,5.7593,0.7817176257329411,0
28HtSinrVGSd8Axef9XSH0,Mike Dunn;Luke Solomon,My House From All Angles (Remixes),If I Can't Get Down - Luke Solomon's Clubland Remix,11,216791,False,0.78,0.843,7,-7.399,1,0.0781,0.0161,0.317,0.0594,0.665,124.022,4,chicago-house,3.613183333333333,0.7793130236945784,0
5kK0CQYgpRgBrtMNNN47BG,Gustavo Santaolalla,The Last of Us,The Last of Us (Goodnight),48,51000,False,0.535,0.113,9,-22.767,0,0.233,0.93,0.635,0.0982,0.333,119.958,4,ambient,0.85,0.4950520688825999,0
7C9g7mGIpiMgeWauQ5ueBL,RADWIMPS,"Original Soundtrack of ""The Last Ten Years""",Ms. Phenomenal,50,318880,False,0.489,0.522,11,-5.291,1,0.0306,0.401,0.0,0.238,0.43,78.035,4,emo,5.314666666666667,0.8183045705935666,0
1aJMAxzhtScf4nJCbXX1O2,Alesso,Concierto en la ducha,REMEDY,0,190295,False,0.601,0.777,0,-4.612,1,0.0471,0.269,0.0,0.0883,0.485,119.963,4,dance,3.1715833333333334,0.8308639920093224,0
0hVoGcQfWl7KnAhi7cpXC3,dreissk,State of Decay 2 (Original Game Soundtrack),New Hope,11,206869,False,0.0717,0.459,6,-16.526,1,0.0622,0.738,0.931,0.0925,0.0356,185.643,4,idm,3.4478166666666668,0.6104914636627637,0
1wYlJG1iY4d7xKwGSZBuR4,Sofa Surfers;Mani Obeya,Superluminal,"Out, Damn Light",48,278466,False,0.627,0.717,4,-7.473,1,0.0519,0.0402,0.317,0.111,0.367,164.049,4,trip-hop,4.6411,0.7779442502265874,0
453EQz0bEuyxisK9CYJp0O,Evil Activities;Korsakoff,Insurrection,Shadows,16,218666,False,0.333,0.985,6,-1.844,0,0.471,0.00447,0.0,0.241,0.0583,180.092,4,happy,3.644433333333333,0.8820635184876902,0
4FQlpdVvtkaJGnO3rnTGYZ,Teuterekordz,Kein Nirvana,Delirium,39,174161,False,0.861,0.76,0,-5.943,1,0.0602,0.0655,0.00534,0.118,0.407,160.0,4,german,2.9026833333333335,0.8062445665242403,0
5mblm2qeUbMbsDNsIE5OQi,Cássia Eller,Acústico (Ao Vivo),1º De Julho - Ao Vivo,45,292306,False,0.32,0.878,7,-5.771,1,0.0909,0.538,0.0,0.665,0.509,170.064,4,brazil,4.871766666666667,0.8094260399903815,0
7LLcCqoQOhfgBbap9WRs1H,So La Lune,Théia,I8,34,218438,True,0.735,0.304,4,-12.471,0,0.156,0.69,0.0,0.0584,0.39,116.363,4,french,3.640633333333333,0.6854965503209219,0
4IQrkw1B28TFHMJbVbgiJC,Nifelheim,Servants of Darkness,Sadistic Blood Massacre,16,170133,False,0.223,0.989,5,-4.23,1,0.108,1.38e-06,0.833,0.149,0.0769,119.421,4,black-metal,2.83555,0.8379298226143573,0
5p6ZyraxBvo7obHkBHUaJi,Hank Williams,"The Garden Spot Programs, 1950",Lovesick Blues - Show 9,41,172218,False,0.673,0.35,5,-8.095,1,0.0421,0.961,0.0,0.579,0.654,133.694,4,honky-tonk,2.8703,0.76643915431996,0
1brpdmqkx3kSxyqzqXfW7J,KISS,Animalize,Heaven's On Fire,68,201400,False,0.679,0.866,0,-6.053,1,0.0635,0.00376,3.1e-05,0.312,0.785,124.324,4,hard-rock,3.3566666666666665,0.8042099032610103,1
6JULWULk2iLzF0GuynMyFl,William So,和那誰的,那誰,45,247546,False,0.654,0.553,1,-5.532,0,0.0304,0.68,0.0,0.122,0.391,117.979,4,cantopop,4.125766666666666,0.8138468083532174,0
3ufyezBXK8xgyb6MHLxLBC,Os Barões Da Pisadinha,Agora Eu Pego Mesmo,Tá Complicado,43,152842,False,0.718,0.875,5,-6.558,1,0.0419,0.572,0.0,0.0622,0.94,171.983,4,forro,2.5473666666666666,0.7948689491889092,0
2mCSqP0xAkWO7N53OnHRLk,Tanya Chua,天使與魔鬼的對話,十萬毫升淚水,53,260958,False,0.313,0.21,5,-9.931,1,0.0361,0.858,0.0,0.108,0.156,75.071,5,mandopop,4.3493,0.7324787747627768,0
60dbY1IYizdQQVhC4QTyEc,Jubin Nautiyal;Payal Dev,Dil Chahte Ho,Dil Chahte Ho,53,252771,False,0.3,0.399,7,-6.951,1,0.0341,0.812,0.0,0.0978,0.225,78.755,4,k-pop,4.21285,0.7875996522575514,0
2sWP5BvD2gcT32MpMAhkRU,salem ilese,CHRISTMAS TOP HITS 2022,Thank You Note,0,156265,False,0.637,0.705,10,-7.546,0,0.0502,0.121,0.0,0.0857,0.553,158.013,4,indie-pop,2.604416666666667,0.7765939736973531,0
1BpG59DLyW6jZxN2PYiUA3,Super Flu,Musik 3,2daBeat,47,329787,False,0.659,0.698,9,-10.252,0,0.0687,0.109,0.00864,0.0836,0.221,120.022,4,minimal-techno,5.49645,0.7265412574218966,0
3jmelhU4kuytaLPLeiAerH,Ill Niño,Revolution Revolucion,I Am Loco,55,210533,True,0.516,0.945,7,-4.202,1,0.0979,0.000602,0.0683,0.0841,0.101,174.756,4,industrial,3.5088833333333334,0.8384477368995431,0
7tL61fgLUj48iB6JXVWzii,Carmen Twillie;Lebo M.,Best of The Lion King,"Circle of Life (From ""The Lion King"") - From ""The Lion King""/ Soundtrack",30,238920,False,0.324,0.609,10,-8.046,1,0.0475,0.238,1.69e-06,0.218,0.525,83.319,4,disney,3.982,0.7673455043190351,0
47ksZ1E7i2q5ptirD0E86H,Mc Kadu;MC Cebezinho;Mc Kanhoto;MC GP;Dj Victor,B.I.G.O.D.E,Eu Tô de Miliduka,41,281379,False,0.662,0.477,11,-7.218,0,0.523,0.709,0.0,0.0979,0.449,173.942,4,funk,4.68965,0.7826609696095296,0
5S5uyh5TMl8bYZBlO8NKpm,Mk Mukesh,Feel My Love [feat. Moni Gopal] (Reprised Version),Feel My Love [feat. Moni Gopal] - Reprised Version,36,197189,False,0.552,0.35,6,-7.607,0,0.0245,0.799,0.0,0.121,0.237,92.567,4,samba,3.2864833333333334,0.7754656604331983,0
603h4xOmO5ZZS0GIeMXHur,Alan Menken,Aladdin (Original Motion Picture Soundtrack),The Wedding,34,71699,False,0.359,0.727,7,-8.003,1,0.0557,0.0347,0.93,0.0694,0.173,120.817,4,disney,1.1949833333333333,0.7681408726855705,0
6sOJPD0swoF50sYzHnampc,Bella Poarch,"#Multiverse, If the Multiverse Is Real",Living Hell,0,174002,False,0.729,0.551,0,-6.935,0,0.056,0.598,0.0,0.176,0.312,124.044,4,alternative,2.9000333333333335,0.7878956032776574,0
3NigHcNkAIUpS1cNbiqNl8,AJJ,Christmas Island,Angel of Death,28,174709,False,0.645,0.626,7,-7.551,1,0.0364,0.259,0.00887,0.115,0.307,118.585,4,acoustic,2.9118166666666667,0.7765014890035699,0
3i9ytL8WDi7W1Gt4hy0k8H,Norman Langen,Dieses Gefühl,Yolanda,26,205373,False,0.721,0.908,7,-3.142,0,0.0787,0.0609,0.0,0.362,0.512,107.991,4,party,3.4228833333333335,0.8580544919815769,0
68HWluL8NkjxrjlRATJ1nW,Zezé Di Camargo & Luciano,Zezé Di Camargo & Luciano 1993,Tudo de Novo,44,291106,False,0.693,0.48,11,-11.345,1,0.0249,0.254,4.85e-06,0.0867,0.54,108.049,4,sertanejo,4.851766666666666,0.7063241033608937,0
59klEKEftzx76xnc5Nq9cX,Nando Reis;Pitty,Um Tiro no Coração,Um Tiro no Coração,45,302052,False,0.766,0.776,2,-5.381,1,0.0291,0.184,0.0,0.113,0.576,132.098,4,brazil,5.0342,0.8166398461054695,0
482bGsGp562RA3RQ7rTjxJ,OConnor,Un Poco de Respeto,No soy un extraño,25,165212,False,0.666,0.521,5,-7.621,0,0.029,0.0982,0.00149,0.0649,0.218,102.001,4,heavy-metal,2.7535333333333334,0.7752067032906053,0
0EwQzledAlRhMl79C1PnvP,Mike Dunn;Jass Mann,My House From All Angles,Have It 4 U Babe (feat. Jass Mann) - Extended MixX,8,430100,False,0.812,0.905,1,-6.865,0,0.0616,0.00115,0.93,0.0469,0.889,125.02,4,chicago-house,7.168333333333333,0.789190388990622,0
5ZdY8ifXAy40ODdbIWhWel,Bersuit Vergarabat,La Revuelta,Cambiar El Alma,35,212360,False,0.51,0.86,5,-5.648,1,0.0375,0.00297,0.0,0.622,0.483,101.828,4,ska,3.5393333333333334,0.8117011634574477,0
4jpImWrX1hDIHHkVL9qpeu,Imagine Dragons,Halloween 2022,Thunder,0,187146,False,0.601,0.824,0,-4.757,1,0.0474,0.00866,0.173,0.155,0.246,167.965,4,rock,3.1191,0.8281819358896102,0
7nUgqMvj2oBzlsUjwvRVl8,Kevin Kern,Embracing the Wind,Fantasia's Lullaby,20,225680,False,0.563,0.0196,8,-23.289,1,0.0469,0.995,0.933,0.114,0.385,132.38,4,new-age,3.7613333333333334,0.48539666685163596,0
3M48mLjTHfMx6ogQfTVE9r,Brothers of Metal,The Other Son of Odin,The Other Son of Odin,54,205626,False,0.403,0.952,7,-4.534,1,0.081,0.000807,0.00101,0.325,0.517,174.974,4,heavy-metal,3.4271,0.83230675323234,0
6lft9WPolzGl1c0sxWAMsZ,Prinz;Liilz,Peter Pan (feat. Liilz),Peter Pan (feat. Liilz),70,139586,True,0.816,0.487,4,-8.059,0,0.314,0.168,0.0,0.176,0.479,141.015,4,chill,2.326433333333333,0.767105044115199,1
5iUjWA0lGW4TXr6KJs6Y0r,Mariya Takeuchi,Expressions,Shiawasenomonosashi,51,327146,False,0.7,0.814,4,-4.84,1,0.054,0.18,0.0,0.105,0.809,118.902,4,j-idol,5.4524333333333335,0.8266466899728095,0
5erSMVrRwNRKXVp3pMknSc,Roberto Goyeneche,Roberto Goyeneche: Cantor de Mi Barrio,Bandoneon Arrabalero,28,164266,False,0.387,0.475,2,-7.96,0,0.041,0.89,0.00485,0.168,0.642,120.686,4,tango,2.7377666666666665,0.7689362410521058,0
3Oel2uKhw6SBwZ5SfRCD6r,Pritam;Darshan Raval;Antara Mitra,Love Aaj Kal (Original Motion Picture Soundtrack),Mehrama - Extended,51,337749,False,0.545,0.632,7,-8.462,1,0.0316,0.863,0.00737,0.0931,0.393,107.931,4,indian,5.62915,0.7596507777962748,0
5ucgOQk1gfmiZDaSewy7Cj,Palavra Cantada,Cantigas de Roda,Alecrim,46,116160,False,0.673,0.209,10,-8.544,1,0.0361,0.869,2.27e-06,0.155,0.669,82.411,4,mpb,1.936,0.7581340288182304,0
7n4Ou2dY7blyiZyR1S6M2k,wavcrush,a daffodil a day,daffodils,33,137000,False,0.59,0.287,8,-14.677,0,0.136,0.149,0.858,0.11,0.329,120.043,4,study,2.283333333333333,0.6446923034237834,0
3tI3SEykqxq2ielVBTWkpo,Thin Lizzy,70s Christmas Party,The Boys Are Back In Town,0,263146,False,0.457,0.87,8,-4.906,1,0.0711,0.292,1.67e-06,0.117,0.694,81.095,4,blues,4.385766666666667,0.8254258920148715,0
2SsneDqgO7ZSi6Ktw5RbrV,The Marías,rainy day indie,We're the Lucky Ones,0,215933,False,0.37,0.184,4,-12.637,1,0.0302,0.969,0.00119,0.101,0.0581,86.834,3,indie-pop,3.598883333333333,0.6824260584873203,0
3BEYmsQniREjw43wdYG3U1,Andrew Lloyd Webber;The Andrew Lloyd Webber Orchestra;Simon Lee,Anthems for Witches 2022,The Phantom Of The Opera Symphonic Suite - Pt.1,0,317693,False,0.0776,0.132,6,-16.891,0,0.0368,0.674,0.848,0.181,0.0692,176.119,3,show-tunes,5.294883333333333,0.6037400810165917,0
7LNm1oWd6PniO9wRYpNY5o,Delaney Bailey,j's lullaby (darlin' i'd wait for you),j's lullaby (darlin' i'd wait for you),71,290132,False,0.54,0.11,8,-19.885,1,0.0328,0.498,0.000614,0.0781,0.172,76.068,4,indie-pop,4.835533333333333,0.5483602463792242,1
3LmG3yaSFHKB4rGtTWScQS,Stam1na,Taival,"Metsästäjä, II Ero",21,147320,False,0.44,0.555,9,-8.576,0,0.0359,0.123,0.342,0.113,0.042,147.924,3,heavy-metal,2.4553333333333334,0.7575421267780181,0
64B0yTuNiZ90zt0IBlmg9W,Alphaxone,The Infinite Void,Unusual Detection,13,386500,False,0.166,0.117,0,-19.708,1,0.0436,0.198,0.566,0.0943,0.0333,126.806,4,iranian,6.441666666666666,0.5516342045391488,0
6Dc2tCivms1s2X9myWe4ni,Rodrigo Amarante,Tuyo (Narcos Theme) [A Netflix Original Series Soundtrack],Tuyo (Narcos Theme) - A Netflix Original Series Soundtrack,65,89293,False,0.72,0.422,1,-13.338,0,0.069,0.474,0.0847,0.155,0.546,112.219,4,mpb,1.4882166666666667,0.6694597044189186,1
6aM1dvHvOjUSNbWsp3zLdJ,Rehmahz;Limoblaze,Victory,Victory,18,216868,False,0.672,0.437,2,-8.284,0,0.336,0.486,0.0,0.149,0.411,126.599,5,afrobeat,3.6144666666666665,0.7629432328949558,0
1Whxt3lFm3WZ5RjayHMucO,Son&Dad;Filip Nordin,Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs,Drag Me Down,25,141176,False,0.879,0.411,8,-5.146,1,0.0376,0.61,0.0,0.296,0.609,119.013,4,acoustic,2.3529333333333335,0.8209866267132789,0
4FvJysAX0y4TfHE9CIprrx,DELLAFUENTE;Rvfv,K alegría,K alegría,70,159215,False,0.777,0.787,10,-5.472,0,0.0964,0.104,0.0161,0.0654,0.88,110.02,4,latino,2.653583333333333,0.8149566246786156,1
3zzIO4KB7dz0fMSD2f7TyS,Kenzie Smith Piano,"Anime Music Collection Piano Solo, Vol. 4","The World (From ""Death Note"")",28,95991,False,0.345,0.415,11,-13.334,0,0.0392,0.865,0.665,0.0997,0.269,89.972,5,piano,1.59985,0.6695336921739452,0
1xSXu8v1lqGK5smUTIdCNP,Dusty Decks,Jukebox Jackpot,Jukebox Jackpot,37,153982,False,0.858,0.429,9,-8.93,0,0.0428,0.81,0.925,0.0829,0.374,86.979,4,study,2.5663666666666667,0.7509942104581692,0
3di5hcvxxciiqwMH1jarhY,Adele,21,Set Fire to the Rain,80,242973,False,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,4,british,4.04955,0.8443667573016665,1
2IJqEh9d9Pie983MifjlD3,Carl Smith,The Essential Carl Smith,Are You Teasing Me,15,156533,False,0.498,0.263,4,-13.613,1,0.0308,0.835,8.41e-05,0.159,0.514,133.287,4,honky-tonk,2.6088833333333334,0.6643730462608438,0
76Hb0Dyy6kDcR3QEZwAycE,Kailash Kher;Paresh Kamath;Naresh Kamath,Kailasa Jhoomo Re,Tere Naina,34,389933,False,0.409,0.473,5,-8.273,1,0.0305,0.749,0.000559,0.108,0.45,81.773,4,folk,6.498883333333334,0.7631466992212788,0
4tA47shN4mOvU2ePdOPa8t,Micha von der Rampe,Ernte 2k23,Partyanimal,0,139159,False,0.814,0.74,0,-5.738,1,0.145,0.165,0.0,0.111,0.7,138.069,4,party,2.3193166666666665,0.8100364389693505,0
3qPXWPkEZgUhUgPifbE99z,Tiësto,WOW,WOW,61,148125,False,0.6,0.99,6,-3.016,1,0.337,0.00116,0.52,0.124,0.192,127.954,4,trance,2.46875,0.8603851062649132,0
4GzDCtyp9jkpS4QkUBBBiA,Keyakizaka46,世界には愛しかない,世界には愛しかない,19,296400,False,0.492,0.948,7,-3.202,1,0.0824,0.0572,9.73e-06,0.245,0.468,136.095,3,j-idol,4.94,0.8569446756561788,0
7LNdvaauHad6Qiqexxgqdt,Stumbleine,Spiderwebbed,Solar Flare,9,234293,False,0.515,0.621,2,-8.369,1,0.0359,0.0168,0.341,0.127,0.0948,87.491,4,idm,3.9048833333333333,0.7613709931006418,0
6OTZmey0AydX3Yb513CmW7,Anıl Piyancı,Zaman Yok,İnan İsterdim,37,241208,False,0.467,0.914,2,-6.486,0,0.242,0.00903,0.0,0.0897,0.48,100.018,4,turkish,4.020133333333333,0.796200728779387,0
7szxifMiAXPrK3wOdDpMdd,Authority Zero,A Passage In Time (Explicit Version),Over Seasons,34,232133,False,0.6,0.994,7,-2.718,1,0.161,0.21,1.65e-06,0.236,0.435,98.081,4,hardcore,3.8688833333333332,0.8658971940143906,0
3fsOBwBwxBB4j1IFhh3s9V,Deicide,Once Upon The Cross,Once Upon the Cross,42,214213,False,0.205,0.95,10,-8.498,0,0.132,1.93e-05,0.805,0.212,0.314,184.43,4,black-metal,3.5702166666666666,0.7589848880010358,0
3MgAlv870n4mLGWY32nrtO,Caspar Babypants,Night Night!,Sad Baby,30,193120,False,0.6,0.135,2,-15.372,1,0.0335,0.984,0.0239,0.111,0.0688,128.799,4,children,3.2186666666666666,0.6318369309879215,0
